;Канал: 0;Канал: 1;
89;0,0195;-1,3037;
89;0,0195;-1,3428;
89;0,0293;-1,4038;
89;0,0610;-1,4429;
89;0,0708;-1,5015;
89;0,1001;-1,5430;
90;0,1392;-1,5918;
90;0,1587;-1,6211;
90;0,1904;-1,6724;
90;0,2295;-1,7212;
90;0,2002;-1,7603;
90;0,2295;-1,7920;
90;0,2588;-1,8408;
90;0,2686;-1,8799;
90;0,2881;-1,9214;
90;0,3101;-1,9312;
91;0,3394;-1,9702;
91;0,3589;-2,0093;
91;0,3687;-2,0410;
91;0,3882;-2,0605;
91;0,3979;-2,0898;
91;0,4297;-2,1191;
91;0,4395;-2,1387;
91;0,4395;-2,1606;
91;0,4590;-2,1997;
91;0,4883;-2,2095;
92;0,4883;-2,2192;
92;0,4883;-2,2583;
92;0,4785;-2,2583;
92;0,5078;-2,2900;
92;0,4980;-2,3096;
92;0,5273;-2,3291;
92;0,5371;-2,3584;
92;0,5591;-2,3779;
92;0,5371;-2,4390;
92;0,5688;-2,4683;
93;0,5884;-2,4976;
93;0,5884;-2,5366;
93;0,5981;-2,5781;
93;0,6079;-2,6074;
93;0,6079;-2,6563;
93;0,5981;-2,6563;
93;0,6079;-2,6978;
93;0,6079;-2,7075;
93;0,6372;-2,7075;
93;0,6177;-2,7075;
94;0,6665;-2,6782;
94;0,6982;-2,6563;
94;0,6885;-2,5977;
94;0,6763;-2,5269;
94;0,6885;-2,4683;
94;0,6567;-2,4072;
94;0,6763;-2,3682;
94;0,6763;-2,3193;
94;0,6763;-2,2485;
94;0,6372;-2,1802;
95;0,6763;-2,1387;
95;0,6567;-2,0801;
95;0,6274;-2,0190;
95;0,6567;-1,9507;
95;0,6372;-1,8701;
95;0,6470;-1,8213;
95;0,6372;-1,7603;
95;0,6274;-1,6821;
95;0,6274;-1,5918;
95;0,6177;-1,5112;
96;0,6079;-1,4429;
96;0,6274;-1,3428;
96;0,6177;-1,2329;
96;0,5981;-1,1353;
96;0,6079;-1,0449;
96;0,5981;-0,9351;
96;0,6079;-0,8350;
96;0,5786;-0,7349;
96;0,5981;-0,6372;
96;0,5786;-0,5566;
97;0,5688;-0,4468;
97;0,5469;-0,3687;
97;0,5591;-0,2686;
97;0,5469;-0,1978;
97;0,5371;-0,1001;
97;0,5273;0,0000;
97;0,5273;0,0806;
97;0,5176;0,1489;
97;0,4883;0,2588;
97;0,4688;0,3394;
98;0,4688;0,4077;
98;0,4688;0,4883;
98;0,4175;0,5591;
98;0,4175;0,6177;
98;0,3687;0,7080;
98;0,3687;0,7764;
98;0,3198;0,8374;
98;0,3101;0,9155;
98;0,3003;0,9570;
98;0,2588;1,0254;
99;0,2588;1,0645;
99;0,2295;1,1353;
99;0,1807;1,1841;
99;0,1587;1,2451;
99;0,1099;1,2939;
99;0,0903;1,3452;
99;0,0708;1,3940;
99;0,0513;1,4429;
99;0,0098;1,4648;
